tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|MPID|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTC|AAVMY|Abn Amro BK N V Amsterdam Brh American Depositary Receipts - Unsponsored (Netherlands)|OTCX OTC LINK ECN ATS|OTCX|4668|49|2025-12-22
OTC|AAVVF|Advantage Energy Ltd. Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|138|2|2025-12-22
OTC|AAVVF|Advantage Energy Ltd. Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|300|2|2025-12-22
OTC|AAWH|ASCEND WELLNESS HOLDINGS INC CL A|OTCN OTC LINK NQB IDQS|OTCN|34482|7|2025-12-22
OTC|AAWH|ASCEND WELLNESS HOLDINGS INC CL A|OTCX OTC LINK ECN ATS|OTCX|4543|33|2025-12-22
OTC|ABBNY|ABB LTD American Depositary Receipts - Sponsored|ARCA GLOBAL OTC|ARCA|267214|2098|2025-12-22
OTC|ABBNY|ABB LTD American Depositary Receipts - Sponsored|OTCN OTC LINK NQB IDQS|OTCN|77907|508|2025-12-22
OTC|ABBNY|ABB LTD American Depositary Receipts - Sponsored|OTCX OTC LINK ECN ATS|OTCX|121889|1253|2025-12-22
OTC|ABBRF|ABRASILVER RESOURCE CORP COM NEW (Canada)|ARCA GLOBAL OTC|ARCA|9452|14|2025-12-22
OTC|ABBRF|ABRASILVER RESOURCE CORP COM NEW (Canada)|OTCN OTC LINK NQB IDQS|OTCN|12463|19|2025-12-22
OTC|ABBRF|ABRASILVER RESOURCE CORP COM NEW (Canada)|OTCX OTC LINK ECN ATS|OTCX|23083|110|2025-12-22
OTC|ABCP|AmBase Corporation Common Stock|OTCN OTC LINK NQB IDQS|OTCN|14504|4|2025-12-22
OTC|ABEPF|Vision Lithium Inc Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|790|1|2025-12-22
OTC|ABEPF|Vision Lithium Inc Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|1732|4|2025-12-22
OTC|ABIT|ATHENA BITCOIN GLOBAL Common Stock|OTCN OTC LINK NQB IDQS|OTCN|250900|14|2025-12-22
OTC|ABMBF|Abcourt Mines Inc Cl-B (F) Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|301181|11|2025-12-22
OTC|ABQQ|AB INTL GROUP CORP Common Stock|OTCN OTC LINK NQB IDQS|OTCN|2420009|9|2025-12-22
OTC|ABXXF|ABAXX TECHNOLOGIES INC Common Shares|ARCA GLOBAL OTC|ARCA|6423|22|2025-12-22
OTC|ABXXF|ABAXX TECHNOLOGIES INC Common Shares|OTCN OTC LINK NQB IDQS|OTCN|7329|30|2025-12-22
OTC|ABXXF|ABAXX TECHNOLOGIES INC Common Shares|OTCX OTC LINK ECN ATS|OTCX|7218|33|2025-12-22
OTC|ACAZF|ACADIAN TIMBER CORP COM (Canada)|OTCN OTC LINK NQB IDQS|OTCN|700|3|2025-12-22
OTC|ACCYY|Accor S A American Depositary Receipts - Sponsored (France)|ARCA GLOBAL OTC|ARCA|14214|27|2025-12-22
OTC|ACCYY|Accor S A American Depositary Receipts - Sponsored (France)|OTCN OTC LINK NQB IDQS|OTCN|8595|20|2025-12-22
OTC|ACCYY|Accor S A American Depositary Receipts - Sponsored (France)|OTCX OTC LINK ECN ATS|OTCX|6440|26|2025-12-22
OTC|ACDVF|Air Canada Inc Vtg & Var Vtg Shares (Canada)|ARCA GLOBAL OTC|ARCA|1859|7|2025-12-22
OTC|ACDVF|Air Canada Inc Vtg & Var Vtg Shares (Canada)|OTCN OTC LINK NQB IDQS|OTCN|6860|29|2025-12-22
OTC|ACDVF|Air Canada Inc Vtg & Var Vtg Shares (Canada)|OTCX OTC LINK ECN ATS|OTCX|19462|52|2025-12-22
OTC|ACGBY|Agricultural Bank of China Unsponsored American Depository Receipt (China)|ARCA GLOBAL OTC|ARCA|20057|108|2025-12-22
OTC|ACGBY|Agricultural Bank of China Unsponsored American Depository Receipt (China)|OTCN OTC LINK NQB IDQS|OTCN|7895|56|2025-12-22
OTC|ACGBY|Agricultural Bank of China Unsponsored American Depository Receipt (China)|OTCX OTC LINK ECN ATS|OTCX|8486|72|2025-12-22
OTC|ACGP|ASSOCIATED CAP GROUP INC Common Stock|OTCN OTC LINK NQB IDQS|OTCN|523|3|2025-12-22
OTC|ACGP|ASSOCIATED CAP GROUP INC Common Stock|OTCX OTC LINK ECN ATS|OTCX|8|2|2025-12-22
OTC|ACGX|Alliance Creative Group, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|801|3|2025-12-22
OTC|ACHFF|ARch Biopartners Inc. Ordinary Shares (Canada)|OTCN OTC LINK NQB IDQS|OTCN|4700|4|2025-12-22
OTC|ACHFF|ARch Biopartners Inc. Ordinary Shares (Canada)|OTCX OTC LINK ECN ATS|OTCX|1400|3|2025-12-22
OTC|ACLLF|Atco Ltd  Cl I Nv Cda Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|86|2|2025-12-22
OTC|ACLLF|Atco Ltd  Cl I Nv Cda Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|2156|12|2025-12-22
OTC|ACLLY|ACCELLERON INDS LTD ADR - Unsponsored (Switzerland)|ARCA GLOBAL OTC|ARCA|633|10|2025-12-22
OTC|ACLLY|ACCELLERON INDS LTD ADR - Unsponsored (Switzerland)|OTCN OTC LINK NQB IDQS|OTCN|25|1|2025-12-22
OTC|ACLLY|ACCELLERON INDS LTD ADR - Unsponsored (Switzerland)|OTCX OTC LINK ECN ATS|OTCX|185|8|2025-12-22
OTC|ACMIF|ALLIED CRITICAL METALS INC Common Shares (Canada)|OTCN OTC LINK NQB IDQS|OTCN|4298|13|2025-12-22
OTC|ACOPY|The A2 Milk Co Ltd Unsponsored ADR (New Zealand)|ARCA GLOBAL OTC|ARCA|98|1|2025-12-22
OTC|ACOPY|The A2 Milk Co Ltd Unsponsored ADR (New Zealand)|OTCN OTC LINK NQB IDQS|OTCN|100|2|2025-12-22
OTC|ACOPY|The A2 Milk Co Ltd Unsponsored ADR (New Zealand)|OTCX OTC LINK ECN ATS|OTCX|100|1|2025-12-22
OTC|ACRL|Atacama Resources International, Inc. Common Stock|OTCN OTC LINK NQB IDQS|OTCN|55000|1|2025-12-22
OTC|ACSAY|ACS Actividades De Construccion Y Servicios SA Unsponsored ADR (Spain)|ARCA GLOBAL OTC|ARCA|10218|26|2025-12-22
OTC|ACSAY|ACS Actividades De Construccion Y Servicios SA Unsponsored ADR (Spain)|OTCN OTC LINK NQB IDQS|OTCN|5063|16|2025-12-22
OTC|ACSAY|ACS Actividades De Construccion Y Servicios SA Unsponsored ADR (Spain)|OTCX OTC LINK ECN ATS|OTCX|3647|19|2025-12-22
OTC|ACUT|Accustem Sciences Inc Common Stock|OTCN OTC LINK NQB IDQS|OTCN|25|1|2025-12-22
OTC|ADAPY|ADAPTIMMUNE THERAPEUTICS PLC American Depositary Shares - Sponsored|OTCN OTC LINK NQB IDQS|OTCN|2152876|278|2025-12-22
OTC|ADAPY|ADAPTIMMUNE THERAPEUTICS PLC American Depositary Shares - Sponsored|OTCX OTC LINK ECN ATS|OTCX|379939|324|2025-12-22
OTC|ADBRF|ALDEBARAN RES INC Ordinary Shares (Canada)|OTCN OTC LINK NQB IDQS|OTCN|6850|15|2025-12-22
OTC|ADBRF|ALDEBARAN RES INC Ordinary Shares (Canada)|OTCX OTC LINK ECN ATS|OTCX|11100|6|2025-12-22
OTC|ADCOF|Adcore Inc Common Shares (Canada)|OTCN OTC LINK NQB IDQS|OTCN|4500|2|2025-12-22
OTC|ADDHY|Addtech AB American Depositary Receipts - Unsponsored (Sweden)|OTCN OTC LINK NQB IDQS|OTCN|2000|3|2025-12-22
OTC|ADDYY|adidas AG Sponsored ADR (Germany)|ARCA GLOBAL OTC|ARCA|41496|398|2025-12-22
OTC|ADDYY|adidas AG Sponsored ADR (Germany)|OTCN OTC LINK NQB IDQS|OTCN|21494|189|2025-12-22
OTC|ADDYY|adidas AG Sponsored ADR (Germany)|OTCX OTC LINK ECN ATS|OTCX|41554|530|2025-12-22
OTC|ADFJF|ADF Group Inc Sub Vtg Shs (Canada)|OTCN OTC LINK NQB IDQS|OTCN|1300|6|2025-12-22
OTC|ADHC|American Diversified Holdings Corporation Common Stock|OTCN OTC LINK NQB IDQS|OTCN|2129847|5|2025-12-22
OTC|ADKT|Adirondack Tr Co Common Stock|OTCX OTC LINK ECN ATS|OTCX|120|3|2025-12-22
OTC|ADNH|ADVENT TECHNOLOGIES HLDGS INC Common Stock|OTCN OTC LINK NQB IDQS|OTCN|1414|8|2025-12-22
OTC|ADNH|ADVENT TECHNOLOGIES HLDGS INC Common Stock|OTCX OTC LINK ECN ATS|OTCX|7586|18|2025-12-22
OTC|ADRNY|Koninklijke Ahold Delhaize N.V. American Depositary Receipts - Sponsored|ARCA GLOBAL OTC|ARCA|25002|145|2025-12-22
OTC|ADRNY|Koninklijke Ahold Delhaize N.V. American Depositary Receipts - Sponsored|OTCN OTC LINK NQB IDQS|OTCN|13616|79|2025-12-22
OTC|ADRNY|Koninklijke Ahold Delhaize N.V. American Depositary Receipts - Sponsored|OTCX OTC LINK ECN ATS|OTCX|37543|164|2025-12-22
OTC|ADTI|Adapti, Inc.  Common Stock|OTCN OTC LINK NQB IDQS|OTCN|5|4|2025-12-22
OTC|ADTI|Adapti, Inc.  Common Stock|OTCX OTC LINK ECN ATS|OTCX|70|3|2025-12-22
OTC|ADXS|Ayala Pharmaceuticals, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|894|15|2025-12-22
OTC|ADYEY|Adyen N.V. Unsponsored ADR (Netherlands)|ARCA GLOBAL OTC|ARCA|574762|2257|2025-12-22
OTC|ADYEY|Adyen N.V. Unsponsored ADR (Netherlands)|OTCN OTC LINK NQB IDQS|OTCN|193438|731|2025-12-22
OTC|ADYEY|Adyen N.V. Unsponsored ADR (Netherlands)|OTCX OTC LINK ECN ATS|OTCX|438068|2230|2025-12-22
OTC|AEAE|AltEnergy Acquisition Corp. Class A Common Stock|OTCN OTC LINK NQB IDQS|OTCN|132|1|2025-12-22
OTC|AEBZY|Anadolu Efes Biracilik Ve Malt Sanayi AS Sponsored ADR Reg S (Turkey)|OTCN OTC LINK NQB IDQS|OTCN|9000|1|2025-12-22
OTC|AEGXF|AECON GROUP INC Ordinary Shares|ARCA GLOBAL OTC|ARCA|1000|1|2025-12-22
OTC|AEGXF|AECON GROUP INC Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|325|4|2025-12-22
OTC|AERG|Applied Energetics, Inc Common Stock|ARCA GLOBAL OTC|ARCA|600|2|2025-12-22
OTC|AERG|Applied Energetics, Inc Common Stock|OTCN OTC LINK NQB IDQS|OTCN|21711|89|2025-12-22
OTC|AERG|Applied Energetics, Inc Common Stock|OTCX OTC LINK ECN ATS|OTCX|3804|12|2025-12-22
OTC|AETHD|Aether Global Innovations Corp. Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|1|1|2025-12-22
OTC|AETUF|Arc Resources Ltd. Ordinary Shares (Canada)|ARCA GLOBAL OTC|ARCA|3005|4|2025-12-22
OTC|AETUF|Arc Resources Ltd. Ordinary Shares (Canada)|OTCN OTC LINK NQB IDQS|OTCN|10493|18|2025-12-22
OTC|AETUF|Arc Resources Ltd. Ordinary Shares (Canada)|OTCX OTC LINK ECN ATS|OTCX|119857|238|2025-12-22
OTC|AEXAY|Atos Origin SA American Depositary Receipts - Unsponsored|OTCX OTC LINK ECN ATS|OTCX|37|2|2025-12-22
OTC|AEYPS|ARK7 PPTYS PLUS LLC MEMBERSHIP INT SER - #EYPIR|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|10|3|2025-12-22
OTC|AFFS|AmTrust Financial Services, Inc. 7.25% Subordinated Notes Due 2055|OTCX OTC LINK ECN ATS|OTCX|2298|3|2025-12-22
OTC|AFFT|AmTrust Financial Services, Inc. 7.50% Subordinated Notes Due 2055|OTCX OTC LINK ECN ATS|OTCX|5731|11|2025-12-22
OTC|AFFU|Affluence Corporation Common Stock|OTCX OTC LINK ECN ATS|OTCX|38448003|88|2025-12-22
OTC|AFLYY|Air France ADS ADS|ARCA GLOBAL OTC|ARCA|44024|24|2025-12-22
OTC|AFLYY|Air France ADS ADS|OTCN OTC LINK NQB IDQS|OTCN|20815|16|2025-12-22
OTC|AFLYY|Air France ADS ADS|OTCX OTC LINK ECN ATS|OTCX|9602|19|2025-12-22
OTC|AFMJF|ALPHAMIN RESOURCES CORP CLEAN SHARES (Mauritius)|ARCA GLOBAL OTC|ARCA|47200|8|2025-12-22
OTC|AFMJF|ALPHAMIN RESOURCES CORP CLEAN SHARES (Mauritius)|OTCN OTC LINK NQB IDQS|OTCN|16700|6|2025-12-22
OTC|AFMJF|ALPHAMIN RESOURCES CORP CLEAN SHARES (Mauritius)|OTCX OTC LINK ECN ATS|OTCX|4003|3|2025-12-22
OTC|AFSIB|AmTrust Financial Services, Inc. Depositary Shares, each Representing 1/40th of a Share of 7.25% Non Cumulative Preferred Stock, Series B|OTCX OTC LINK ECN ATS|OTCX|1|1|2025-12-22
OTC|AFSIM|AmTrust Financial Services, Inc. Depositary Shares, each Representing 1/40th of a Share of 7.75% Non-Cumulative Preferred Stock, Series E|OTCX OTC LINK ECN ATS|OTCX|1600|3|2025-12-22
OTC|AFSIN|AmTrust Financial Services, Inc. Depositary Shares, Each Representing 1/40 th Interest in a Share of 6.95% Non-Cumulative Preferred Stock, Series F|OTCX OTC LINK ECN ATS|OTCX|8000|10|2025-12-22
OTC|AFSIP|AmTrust Financial Services, Inc. Depositary Shares , Each Representing 1/40 th Interest in a Share of 7.50% Non-Cumulative Preferred Stock, Series D|OTCX OTC LINK ECN ATS|OTCX|600|1|2025-12-22
OTC|AFTWS|ARK7 PPTYS PLUS LLC MEMBERSHIP INT SER - #FTWDS|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|21|12|2025-12-22
OTC|AGAGF|ARGENTA SILVER CORP COM (Canada)|OTCN OTC LINK NQB IDQS|OTCN|127687|29|2025-12-22
OTC|AGAGF|ARGENTA SILVER CORP COM (Canada)|OTCX OTC LINK ECN ATS|OTCX|58250|15|2025-12-22
OTC|AGESY|Ageas Sponsored ADR (Belgium)|ARCA GLOBAL OTC|ARCA|1583|10|2025-12-22
OTC|AGESY|Ageas Sponsored ADR (Belgium)|OTCN OTC LINK NQB IDQS|OTCN|656|10|2025-12-22
OTC|AGESY|Ageas Sponsored ADR (Belgium)|OTCX OTC LINK ECN ATS|OTCX|1100|7|2025-12-22
OTC|AGFMF|A G F Mgmt Ltd Cl B Non Vtg Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|493|4|2025-12-22
OTC|AGGZF|AG Growth International Inc. Common Shares (Canada)|OTCX OTC LINK ECN ATS|OTCX|400|4|2025-12-22
OTC|AGLXY|AGL Energy Ltd American Depositary Receipts - Sponsored (Australia)|ARCA GLOBAL OTC|ARCA|21|1|2025-12-22
OTC|AGLXY|AGL Energy Ltd American Depositary Receipts - Sponsored (Australia)|OTCN OTC LINK NQB IDQS|OTCN|25|1|2025-12-22
OTC|AGMRF|SILVER MTN RES INC Common Stock|OTCN OTC LINK NQB IDQS|OTCN|8783|18|2025-12-22
OTC|AGMRF|SILVER MTN RES INC Common Stock|OTCX OTC LINK ECN ATS|OTCX|700|7|2025-12-22
OTC|AGTT|Angstrom Technologies, Inc. Common Stock|OTCN OTC LINK NQB IDQS|OTCN|400|1|2025-12-22
OTC|AGXPF|SILVER X MNG CORP Common Shares|OTCN OTC LINK NQB IDQS|OTCN|51315|4|2025-12-22
OTC|AGXPF|SILVER X MNG CORP Common Shares|OTCX OTC LINK ECN ATS|OTCX|3000|1|2025-12-22
OTC|AGYP|Allied Energy Corporation. Common Stock|OTCN OTC LINK NQB IDQS|OTCN|800000|2|2025-12-22
OTC|AHCHY|Anhui Conch Cement Unsponsored ADR representing Shares -H- (China)|ARCA GLOBAL OTC|ARCA|7422|72|2025-12-22
OTC|AHCHY|Anhui Conch Cement Unsponsored ADR representing Shares -H- (China)|OTCN OTC LINK NQB IDQS|OTCN|1700|15|2025-12-22
OTC|AHCHY|Anhui Conch Cement Unsponsored ADR representing Shares -H- (China)|OTCX OTC LINK ECN ATS|OTCX|952|15|2025-12-22
OTC|AHEXY|Adecco Group AG American Depositary Receipts - Unsponsored|ARCA GLOBAL OTC|ARCA|7140|78|2025-12-22
OTC|AHEXY|Adecco Group AG American Depositary Receipts - Unsponsored|OTCN OTC LINK NQB IDQS|OTCN|2200|10|2025-12-22
OTC|AHEXY|Adecco Group AG American Depositary Receipts - Unsponsored|OTCX OTC LINK ECN ATS|OTCX|4805|49|2025-12-22
OTC|AHKSY|Asahi Kaisai Corporation American Depositary Shares|ARCA GLOBAL OTC|ARCA|5373|35|2025-12-22
OTC|AHKSY|Asahi Kaisai Corporation American Depositary Shares|OTCN OTC LINK NQB IDQS|OTCN|502|7|2025-12-22
OTC|AHKSY|Asahi Kaisai Corporation American Depositary Shares|OTCX OTC LINK ECN ATS|OTCX|2489|24|2025-12-22
OTC|AHLAS|RSE ARCHIVE LLC MEMBERSHIP INT SER - HONUS T206 HONUS WAGNER CARD|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|17|9|2025-12-22
OTC|AHLCS|RSE ARCHIVE LLC MEMBERSHIP INT SER - 39TEDWILL 1939 PLAY BALL TED WILLIAMS (CARD)|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|2|2|2025-12-22
OTC|AHLES|RSE ARCHIVE LLC MEMBERSHIP INT SER - 09TROUT2 2009 MIKE TROUT XFRACTOR CARD|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|5|1|2025-12-22
OTC|AHLFS|RSE ARCHIVE LLC MEMBERSHIP INT SER - 91JORDAN 1991 JORDAN GAME WORN UNIFORM|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|14|5|2025-12-22
OTC|AHLGS|RSE ARCHIVE LLC MEMBERSHIP INT SER - DOMNOS 1990 ROLEX DOMINOS AIR-KING|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|2|1|2025-12-22
OTC|AHLKS|RSE ARCHIVE LLC MEMBERSHIP INT SER - 59FLASH 1959 THE FLASH #105|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|60|3|2025-12-22
OTC|AHLOS|RSE ARCHIVE LLC MEMEBERSHIP INT SER - 18LUKA 2018 LUKA DONCIC ROOKIE CARD|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|5|1|2025-12-22
OTC|AHLPS|RSE ARCHIVE LLC MEMBERSHIP INT SER - 97KOBE 1997 KOBE BRYANT CARD|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|5|1|2025-12-22
OTC|AHLQS|RSE ARCHIVE LLC MEMBERSHIP INT SER CURIO CARDS ONE TO TEN|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|39|4|2025-12-22
OTC|AHLSS|RSE ARCHIVE LLC MEMBERSHIP INT SER - 1986 TOPPS BARRY BDS ROOKIE (CARD)|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|30|2|2025-12-22
OTC|AHLTS|RSE ARCHIVE LLC MEMBERSHIP INT SER - 2019 GIBSON TONY IOMMI (MONKEY SG GUITAR)|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|40|6|2025-12-22
OTC|AHNRF|Athena Gold Corporation Common Stock|OTCN OTC LINK NQB IDQS|OTCN|63450|14|2025-12-22
OTC|AHNRF|Athena Gold Corporation Common Stock|OTCX OTC LINK ECN ATS|OTCX|1056|6|2025-12-22
OTC|AHOTF|American Hotel Income Properties REIT LP Unit Limited Partnership Int (Canada)|OTCN OTC LINK NQB IDQS|OTCN|4020|2|2025-12-22
OTC|AHVBS|RSE ARCHIVE LLC MEMEBERSHIP INT SER - 56AARON 1956 TOPPS HANK AARON CARD|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|109|4|2025-12-22
OTC|AIBGY|AIB Group plc American Depositary Receipts - Unsponsored (Ireland)|ARCA GLOBAL OTC|ARCA|24839|91|2025-12-22
OTC|AIBGY|AIB Group plc American Depositary Receipts - Unsponsored (Ireland)|OTCN OTC LINK NQB IDQS|OTCN|12232|38|2025-12-22
OTC|AIBGY|AIB Group plc American Depositary Receipts - Unsponsored (Ireland)|OTCX OTC LINK ECN ATS|OTCX|19683|63|2025-12-22
OTC|AIBT|Aibotics Inc. Common Stock|OTCN OTC LINK NQB IDQS|OTCN|30000|1|2025-12-22
OTC|AIMFF|Aimia, Inc.  Common Shares (Canada)|ARCA GLOBAL OTC|ARCA|1500|1|2025-12-22
OTC|AIMFF|Aimia, Inc.  Common Shares (Canada)|OTCN OTC LINK NQB IDQS|OTCN|3400|3|2025-12-22
OTC|AIMLF|AI / ML Innovations Inc. Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|16500|1|2025-12-22
OTC|AIPUY|Airports of Thailand Public Co Ltd Unsponsored ADR (Thailand)|OTCN OTC LINK NQB IDQS|OTCN|1|1|2025-12-22
OTC|AIQUY|L'Air Liquide Ord American Depositary Shares|ARCA GLOBAL OTC|ARCA|190433|1188|2025-12-22
OTC|AIQUY|L'Air Liquide Ord American Depositary Shares|OTCN OTC LINK NQB IDQS|OTCN|34714|195|2025-12-22
OTC|AIQUY|L'Air Liquide Ord American Depositary Shares|OTCX OTC LINK ECN ATS|OTCX|65076|343|2025-12-22
OTC|AIRDF|ROCKET DOCTOR AI INC Common Stock|OTCN OTC LINK NQB IDQS|OTCN|30732|14|2025-12-22
OTC|AIRRF|Aurion Resources, Ltd. Ordinary Shares (Canada)|ARCA GLOBAL OTC|ARCA|1000|1|2025-12-22
OTC|AIRYY|Air China Limited Sponsored ADR (China)|ARCA GLOBAL OTC|ARCA|400|4|2025-12-22
OTC|AIRYY|Air China Limited Sponsored ADR (China)|OTCN OTC LINK NQB IDQS|OTCN|800|2|2025-12-22
OTC|AITX|ARTIFICIAL INTELLIGENCE TECHNOLOGY SOLUTIONS INC. Common Stock|OTCN OTC LINK NQB IDQS|OTCN|16275796|44|2025-12-22
OTC|AITX|ARTIFICIAL INTELLIGENCE TECHNOLOGY SOLUTIONS INC. Common Stock|OTCX OTC LINK ECN ATS|OTCX|333699|3|2025-12-22
OTC|AJINY|AJINOMOTO CO INC ADR - Unsponsored (Japan)|ARCA GLOBAL OTC|ARCA|23773|120|2025-12-22
OTC|AJINY|AJINOMOTO CO INC ADR - Unsponsored (Japan)|OTCN OTC LINK NQB IDQS|OTCN|3040|22|2025-12-22
OTC|AJINY|AJINOMOTO CO INC ADR - Unsponsored (Japan)|OTCX OTC LINK ECN ATS|OTCX|13669|122|2025-12-22
OTC|AKBTY|Akbank Turk Anonim Sirketi ADR (Turkey)|OTCN OTC LINK NQB IDQS|OTCN|2174|6|2025-12-22
OTC|AKEMF|ALASKA ENERGY METALS CORP Common Shares|OTCN OTC LINK NQB IDQS|OTCN|108788|12|2025-12-22
OTC|AKEMF|ALASKA ENERGY METALS CORP Common Shares|OTCX OTC LINK ECN ATS|OTCX|500|1|2025-12-22
OTC|AKGDS|ARK7 PPTYS PLUS LLC Membership Interest Series #DIVTU|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|4|3|2025-12-22
OTC|AKGSS|ARK7 PPTYS PLUS LLC Membership Interests Series #ORHOF|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|2|2|2025-12-22
OTC|AKOJS|ARK7 PPTYS PLUS LLC  MEMBERSHIP INT SER - #OJXLW Shares of Beneficial Interest|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|9|6|2025-12-22
