WeekEnding|Tier|Symbol|MPID|TotalShares|TotalTrades
2025-12-27|NMS Tier 1|AAAU|UBSA|98087|313
2025-12-27|NMS Tier 1|AAL|ALPX|35476|139
2025-12-27|NMS Tier 1|AAL|BIDS|1265350|1104
2025-12-27|NMS Tier 1|AAL|BLKX|347530|125
2025-12-27|NMS Tier 1|AAL|BLUE|131264|490
2025-12-27|NMS Tier 1|AAL|BNPX|344046|1805
2025-12-27|NMS Tier 1|AAL|BOSS|1930|21
2025-12-27|NMS Tier 1|AAL|CGXS|800744|3075
2025-12-27|NMS Tier 1|AAL|CODA|17760|95
2025-12-27|NMS Tier 1|AAL|EBXL|2965737|25573
2025-12-27|NMS Tier 1|AAL|IATS|401171|1367
2025-12-27|NMS Tier 1|AAL|ICBX|244015|1081
2025-12-27|NMS Tier 1|AAL|IEOS|4302|16
2025-12-27|NMS Tier 1|AAL|INCR|5045223|23236
2025-12-27|NMS Tier 1|AAL|ITGP|355504|968
2025-12-27|NMS Tier 1|AAL|JPBX|1615715|6551
2025-12-27|NMS Tier 1|AAL|JPMX|819518|3562
2025-12-27|NMS Tier 1|AAL|KCGM|696230|2570
2025-12-27|NMS Tier 1|AAL|LATS|966776|3659
2025-12-27|NMS Tier 1|AAL|LQNA|18800|4
2025-12-27|NMS Tier 1|AAL|MLIX|1536732|5210
