WeekEnding|Tier|Symbol|MPID|TotalShares|TotalTrades
2025-12-20|NMS Tier 1|AA|SGMT|764500|12704
2025-12-20|NMS Tier 1|AA|STFX|100|1
2025-12-20|NMS Tier 1|AA|UBSA|1314971|18309
2025-12-20|NMS Tier 1|AA|XSTM|135878|377
2025-12-20|NMS Tier 1|AAAU|BIDS|29856|14
2025-12-20|NMS Tier 1|AAAU|BLUE|11454|232
2025-12-20|NMS Tier 1|AAAU|BNPX|1717|3
2025-12-20|NMS Tier 1|AAAU|BOSS|211|8
2025-12-20|NMS Tier 1|AAAU|CGXS|16980|31
2025-12-20|NMS Tier 1|AAAU|CODA|120|10
2025-12-20|NMS Tier 1|AAAU|EBXL|29566|108
2025-12-20|NMS Tier 1|AAAU|IATS|19789|61
2025-12-20|NMS Tier 1|AAAU|ICBX|121|4
2025-12-20|NMS Tier 1|AAAU|IEOS|19|2
2025-12-20|NMS Tier 1|AAAU|INCR|102231|454
2025-12-20|NMS Tier 1|AAAU|ITGP|200|2
2025-12-20|NMS Tier 1|AAAU|JPMX|6957|22
2025-12-20|NMS Tier 1|AAAU|KCGM|18617|126
2025-12-20|NMS Tier 1|AAAU|LATS|7440|30
2025-12-20|NMS Tier 1|AAAU|MLIX|18198|73
2025-12-20|NMS Tier 1|AAAU|MSPL|4400|12
2025-12-20|NMS Tier 1|AAAU|ONEC|2586|11
2025-12-20|NMS Tier 1|AAAU|PURE|3870|14
2025-12-20|NMS Tier 1|AAAU|SGMT|45665|153
2025-12-20|NMS Tier 1|AAAU|UBSA|92885|302
2025-12-20|NMS Tier 1|AAL|ALPX|235265|672
2025-12-20|NMS Tier 1|AAL|BIDS|1515837|1070
2025-12-20|NMS Tier 1|AAL|BLKX|274567|40
2025-12-20|NMS Tier 1|AAL|BLUE|26859|299
2025-12-20|NMS Tier 1|AAL|BNPX|226390|1223
2025-12-20|NMS Tier 1|AAL|BOSS|1677|18
2025-12-20|NMS Tier 1|AAL|CGXS|968639|4391
2025-12-20|NMS Tier 1|AAL|CODA|12421|84
2025-12-20|NMS Tier 1|AAL|EBXL|2408755|21807
2025-12-20|NMS Tier 1|AAL|IATS|427840|1577
2025-12-20|NMS Tier 1|AAL|ICBX|169861|825
2025-12-20|NMS Tier 1|AAL|IEOS|631|6
2025-12-20|NMS Tier 1|AAL|INCR|4737117|22203
2025-12-20|NMS Tier 1|AAL|ITGP|555339|1315
2025-12-20|NMS Tier 1|AAL|JPBX|716434|4305
2025-12-20|NMS Tier 1|AAL|JPMX|966986|4215
2025-12-20|NMS Tier 1|AAL|KCGM|788471|2956
2025-12-20|NMS Tier 1|AAL|LATS|870872|3790
2025-12-20|NMS Tier 1|AAL|LQNA|6400|26
2025-12-20|NMS Tier 1|AAL|MLIX|1603208|5204
2025-12-20|NMS Tier 1|AAL|MOON|553|6
2025-12-20|NMS Tier 1|AAL|MSPL|1762200|5393
