WeekEnding|Tier|Symbol|MPID|TotalShares|TotalTrades
2025-12-13|NMS Tier 1|AA|IEOS|156|5
2025-12-13|NMS Tier 1|AA|INCR|942694|11414
2025-12-13|NMS Tier 1|AA|ITGP|45312|207
2025-12-13|NMS Tier 1|AA|JPBX|122575|1449
2025-12-13|NMS Tier 1|AA|JPMX|233590|2637
2025-12-13|NMS Tier 1|AA|KCGM|104571|1168
2025-12-13|NMS Tier 1|AA|LATS|124195|1487
2025-12-13|NMS Tier 1|AA|LQNA|32900|35
2025-12-13|NMS Tier 1|AA|MLIX|253319|2819
2025-12-13|NMS Tier 1|AA|MSPL|360300|1745
2025-12-13|NMS Tier 1|AA|MSRP|19978|376
2025-12-13|NMS Tier 1|AA|MSTX|385305|5047
2025-12-13|NMS Tier 1|AA|ONEC|24443|277
2025-12-13|NMS Tier 1|AA|PURE|98346|1818
2025-12-13|NMS Tier 1|AA|SGMT|432932|6720
2025-12-13|NMS Tier 1|AA|STFX|300|2
2025-12-13|NMS Tier 1|AA|UBSA|840139|11435
2025-12-13|NMS Tier 1|AA|XSTM|91501|224
2025-12-13|NMS Tier 1|AAAU|ALPX|3|2
2025-12-13|NMS Tier 1|AAAU|BIDS|20923|12
2025-12-13|NMS Tier 1|AAAU|BLUE|4490|167
2025-12-13|NMS Tier 1|AAAU|BNPX|1950|11
2025-12-13|NMS Tier 1|AAAU|CGXS|5487|29
2025-12-13|NMS Tier 1|AAAU|CODA|147|10
2025-12-13|NMS Tier 1|AAAU|EBXL|41852|191
2025-12-13|NMS Tier 1|AAAU|IATS|16740|49
2025-12-13|NMS Tier 1|AAAU|ICBX|650|29
2025-12-13|NMS Tier 1|AAAU|INCR|103777|455
2025-12-13|NMS Tier 1|AAAU|ITGP|2140|7
2025-12-13|NMS Tier 1|AAAU|JPMX|4681|8
2025-12-13|NMS Tier 1|AAAU|KCGM|28659|157
2025-12-13|NMS Tier 1|AAAU|LATS|25340|90
2025-12-13|NMS Tier 1|AAAU|MLIX|9150|81
2025-12-13|NMS Tier 1|AAAU|MSPL|7900|8
2025-12-13|NMS Tier 1|AAAU|ONEC|3361|12
2025-12-13|NMS Tier 1|AAAU|PURE|3040|12
2025-12-13|NMS Tier 1|AAAU|SGMT|33982|286
2025-12-13|NMS Tier 1|AAAU|UBSA|65584|162
2025-12-13|NMS Tier 1|AAL|ALPX|30678|176
2025-12-13|NMS Tier 1|AAL|BIDS|576302|525
2025-12-13|NMS Tier 1|AAL|BLKX|140249|16
2025-12-13|NMS Tier 1|AAL|BLUE|38078|315
2025-12-13|NMS Tier 1|AAL|BNPX|158353|610
2025-12-13|NMS Tier 1|AAL|BOSS|603|8
2025-12-13|NMS Tier 1|AAL|CGXS|637647|2685
2025-12-13|NMS Tier 1|AAL|CODA|30990|72
2025-12-13|NMS Tier 1|AAL|EBXL|1838628|15486
2025-12-13|NMS Tier 1|AAL|IATS|313671|1134
2025-12-13|NMS Tier 1|AAL|ICBX|123117|681
2025-12-13|NMS Tier 1|AAL|IEOS|915|5
2025-12-13|NMS Tier 1|AAL|INCR|3318892|14267
2025-12-13|NMS Tier 1|AAL|ITGP|195808|605
2025-12-13|NMS Tier 1|AAL|JPBX|394504|3395
2025-12-13|NMS Tier 1|AAL|JPMX|350912|1317
2025-12-13|NMS Tier 1|AAL|KCGM|483162|1749
2025-12-13|NMS Tier 1|AAL|LATS|448815|1817
2025-12-13|NMS Tier 1|AAL|LQNA|5000|1
2025-12-13|NMS Tier 1|AAL|MLIX|1175606|3786
2025-12-13|NMS Tier 1|AAL|MSPL|750600|2142
2025-12-13|NMS Tier 1|AAL|MSRP|38962|338
2025-12-13|NMS Tier 1|AAL|MSTX|1811175|7686
